id,sid,floor,x,y
0,10019,1,0.5,19.5
1,10110,1,1.5,10.5
2,10111,1,1.5,11.5
3,10112,1,1.5,12.5
4,10113,1,1.5,13.5
5,10114,1,1.5,14.5
6,10115,1,1.5,15.5
7,10116,1,1.5,16.5
8,10117,1,1.5,17.5
9,10118,1,1.5,18.5
10,10119,1,1.5,19.5
11,10201,1,2.5,1.5
12,10202,1,2.5,2.5
13,10203,1,2.5,3.5
14,10204,1,2.5,4.5
15,10205,1,2.5,5.5
16,10206,1,2.5,6.5
17,10207,1,2.5,7.5
18,10208,1,2.5,8.5
19,10209,1,2.5,9.5
20,10210,1,2.5,10.5
21,10211,1,2.5,11.5
22,10215,1,2.5,15.5
23,10216,1,2.5,16.5
24,10217,1,2.5,17.5
25,10218,1,2.5,18.5
26,10219,1,2.5,19.5
27,10220,1,2.5,20.5
28,10221,1,2.5,21.5
29,10222,1,2.5,22.5
30,10223,1,2.5,23.5
31,10224,1,2.5,24.5
32,10301,1,3.5,1.5
33,10302,1,3.5,2.5
34,10303,1,3.5,3.5
35,10304,1,3.5,4.5
36,10305,1,3.5,5.5
37,10306,1,3.5,6.5
38,10307,1,3.5,7.5
39,10308,1,3.5,8.5
40,10309,1,3.5,9.5
41,10310,1,3.5,10.5
42,10311,1,3.5,11.5
43,10315,1,3.5,15.5
44,10316,1,3.5,16.5
45,10317,1,3.5,17.5
46,10318,1,3.5,18.5
47,10319,1,3.5,19.5
48,10320,1,3.5,20.5
49,10321,1,3.5,21.5
50,10322,1,3.5,22.5
51,10323,1,3.5,23.5
52,10324,1,3.5,24.5
53,10325,1,3.5,25.5
54,10326,1,3.5,26.5
55,10327,1,3.5,27.5
56,10401,1,4.5,1.5
57,10402,1,4.5,2.5
58,10403,1,4.5,3.5
59,10404,1,4.5,4.5
60,10405,1,4.5,5.5
61,10406,1,4.5,6.5
62,10407,1,4.5,7.5
63,10408,1,4.5,8.5
64,10409,1,4.5,9.5
65,10410,1,4.5,10.5
66,10411,1,4.5,11.5
67,10415,1,4.5,15.5
68,10416,1,4.5,16.5
69,10417,1,4.5,17.5
70,10418,1,4.5,18.5
71,10419,1,4.5,19.5
72,10420,1,4.5,20.5
73,10421,1,4.5,21.5
74,10422,1,4.5,22.5
75,10423,1,4.5,23.5
76,10424,1,4.5,24.5
77,10425,1,4.5,25.5
78,10426,1,4.5,26.5
79,10427,1,4.5,27.5
80,10501,1,5.5,1.5
81,10502,1,5.5,2.5
82,10503,1,5.5,3.5
83,10504,1,5.5,4.5
84,10505,1,5.5,5.5
85,10506,1,5.5,6.5
86,10507,1,5.5,7.5
87,10508,1,5.5,8.5
88,10509,1,5.5,9.5
89,10510,1,5.5,10.5
90,10511,1,5.5,11.5
91,10515,1,5.5,15.5
92,10516,1,5.5,16.5
93,10517,1,5.5,17.5
94,10518,1,5.5,18.5
95,10519,1,5.5,19.5
96,10520,1,5.5,20.5
97,10521,1,5.5,21.5
98,10522,1,5.5,22.5
99,10523,1,5.5,23.5
100,10524,1,5.5,24.5
101,10525,1,5.5,25.5
102,10526,1,5.5,26.5
103,10527,1,5.5,27.5
104,10601,1,6.5,1.5
105,10602,1,6.5,2.5
106,10603,1,6.5,3.5
107,10604,1,6.5,4.5
108,10605,1,6.5,5.5
109,10606,1,6.5,6.5
110,10607,1,6.5,7.5
111,10608,1,6.5,8.5
112,10609,1,6.5,9.5
113,10610,1,6.5,10.5
114,10611,1,6.5,11.5
115,10615,1,6.5,15.5
116,10616,1,6.5,16.5
117,10617,1,6.5,17.5
118,10618,1,6.5,18.5
119,10619,1,6.5,19.5
120,10620,1,6.5,20.5
121,10621,1,6.5,21.5
122,10622,1,6.5,22.5
123,10623,1,6.5,23.5
124,10624,1,6.5,24.5
125,10625,1,6.5,25.5
126,10626,1,6.5,26.5
127,10627,1,6.5,27.5
128,10701,1,7.5,1.5
129,10702,1,7.5,2.5
130,10703,1,7.5,3.5
131,10704,1,7.5,4.5
132,10705,1,7.5,5.5
133,10706,1,7.5,6.5
134,10707,1,7.5,7.5
135,10708,1,7.5,8.5
136,10709,1,7.5,9.5
137,10710,1,7.5,10.5
138,10711,1,7.5,11.5
139,10715,1,7.5,15.5
140,10716,1,7.5,16.5
141,10717,1,7.5,17.5
142,10718,1,7.5,18.5
143,10719,1,7.5,19.5
144,10720,1,7.5,20.5
145,10721,1,7.5,21.5
146,10722,1,7.5,22.5
147,10723,1,7.5,23.5
148,10724,1,7.5,24.5
149,10725,1,7.5,25.5
150,10726,1,7.5,26.5
151,10727,1,7.5,27.5
152,10801,1,8.5,1.5
153,10802,1,8.5,2.5
154,10803,1,8.5,3.5
155,10804,1,8.5,4.5
156,10805,1,8.5,5.5
157,10806,1,8.5,6.5
158,10807,1,8.5,7.5
159,10808,1,8.5,8.5
160,10809,1,8.5,9.5
161,10810,1,8.5,10.5
162,10811,1,8.5,11.5
163,10815,1,8.5,15.5
164,10816,1,8.5,16.5
165,10817,1,8.5,17.5
166,10818,1,8.5,18.5
167,10819,1,8.5,19.5
168,10820,1,8.5,20.5
169,10821,1,8.5,21.5
170,10822,1,8.5,22.5
171,10823,1,8.5,23.5
172,10824,1,8.5,24.5
173,10825,1,8.5,25.5
174,10826,1,8.5,26.5
175,10827,1,8.5,27.5
176,10901,1,9.5,1.5
177,10902,1,9.5,2.5
178,10903,1,9.5,3.5
179,10904,1,9.5,4.5
180,10905,1,9.5,5.5
181,10906,1,9.5,6.5
182,10907,1,9.5,7.5
183,10908,1,9.5,8.5
184,10909,1,9.5,9.5
185,10910,1,9.5,10.5
186,10911,1,9.5,11.5
187,10915,1,9.5,15.5
188,10916,1,9.5,16.5
189,10917,1,9.5,17.5
190,10918,1,9.5,18.5
191,10919,1,9.5,19.5
192,10920,1,9.5,20.5
193,10921,1,9.5,21.5
194,10922,1,9.5,22.5
195,10923,1,9.5,23.5
196,10924,1,9.5,24.5
197,10925,1,9.5,25.5
198,10926,1,9.5,26.5
199,10927,1,9.5,27.5
200,11006,1,10.5,6.5
201,11007,1,10.5,7.5
202,11008,1,10.5,8.5
203,11009,1,10.5,9.5
204,11010,1,10.5,10.5
205,11011,1,10.5,11.5
206,11015,1,10.5,15.5
207,11016,1,10.5,16.5
208,11017,1,10.5,17.5
209,11018,1,10.5,18.5
210,11019,1,10.5,19.5
211,11020,1,10.5,20.5
212,11021,1,10.5,21.5
213,11022,1,10.5,22.5
214,11023,1,10.5,23.5
215,11024,1,10.5,24.5
216,11025,1,10.5,25.5
217,11026,1,10.5,26.5
218,11027,1,10.5,27.5
219,11106,1,11.5,6.5
220,11107,1,11.5,7.5
221,11108,1,11.5,8.5
222,11109,1,11.5,9.5
223,11110,1,11.5,10.5
224,11111,1,11.5,11.5
225,11115,1,11.5,15.5
226,11116,1,11.5,16.5
227,11117,1,11.5,17.5
228,11118,1,11.5,18.5
229,11119,1,11.5,19.5
230,11120,1,11.5,20.5
231,11121,1,11.5,21.5
232,11122,1,11.5,22.5
233,11123,1,11.5,23.5
234,11124,1,11.5,24.5
235,11125,1,11.5,25.5
236,11126,1,11.5,26.5
237,11127,1,11.5,27.5
238,11202,1,12.5,2.5
239,11203,1,12.5,3.5
240,11204,1,12.5,4.5
241,11205,1,12.5,5.5
242,11206,1,12.5,6.5
243,11207,1,12.5,7.5
244,11208,1,12.5,8.5
245,11209,1,12.5,9.5
246,11210,1,12.5,10.5
247,11211,1,12.5,11.5
248,11212,1,12.5,12.5
249,11213,1,12.5,13.5
250,11214,1,12.5,14.5
251,11215,1,12.5,15.5
252,11216,1,12.5,16.5
253,11217,1,12.5,17.5
254,11218,1,12.5,18.5
255,11219,1,12.5,19.5
256,11220,1,12.5,20.5
257,11221,1,12.5,21.5
258,11222,1,12.5,22.5
259,11223,1,12.5,23.5
260,11224,1,12.5,24.5
261,11225,1,12.5,25.5
262,11226,1,12.5,26.5
263,11227,1,12.5,27.5
264,11228,1,12.5,28.5
265,11300,1,13.5,0.5
266,11301,1,13.5,1.5
267,11302,1,13.5,2.5
268,11303,1,13.5,3.5
269,11304,1,13.5,4.5
270,11305,1,13.5,5.5
271,11306,1,13.5,6.5
272,11307,1,13.5,7.5
273,11308,1,13.5,8.5
274,11309,1,13.5,9.5
275,11310,1,13.5,10.5
276,11311,1,13.5,11.5
277,11312,1,13.5,12.5
278,11313,1,13.5,13.5
279,11314,1,13.5,14.5
280,11315,1,13.5,15.5
281,11316,1,13.5,16.5
282,11317,1,13.5,17.5
283,11318,1,13.5,18.5
284,11319,1,13.5,19.5
285,11320,1,13.5,20.5
286,11321,1,13.5,21.5
287,11322,1,13.5,22.5
288,11323,1,13.5,23.5
289,11324,1,13.5,24.5
290,11325,1,13.5,25.5
291,11326,1,13.5,26.5
292,11327,1,13.5,27.5
293,11328,1,13.5,28.5
294,11401,1,14.5,1.5
295,11402,1,14.5,2.5
296,11403,1,14.5,3.5
297,11404,1,14.5,4.5
298,11405,1,14.5,5.5
299,11406,1,14.5,6.5
300,11407,1,14.5,7.5
301,11408,1,14.5,8.5
302,11409,1,14.5,9.5
303,11410,1,14.5,10.5
304,11411,1,14.5,11.5
305,11412,1,14.5,12.5
306,11413,1,14.5,13.5
307,11414,1,14.5,14.5
308,11415,1,14.5,15.5
309,11416,1,14.5,16.5
310,11417,1,14.5,17.5
311,11418,1,14.5,18.5
312,11419,1,14.5,19.5
313,11420,1,14.5,20.5
314,11421,1,14.5,21.5
315,11422,1,14.5,22.5
316,11423,1,14.5,23.5
317,11424,1,14.5,24.5
318,11425,1,14.5,25.5
319,11426,1,14.5,26.5
320,11427,1,14.5,27.5
321,11428,1,14.5,28.5
322,11502,1,15.5,2.5
323,11504,1,15.5,4.5
324,11505,1,15.5,5.5
325,11507,1,15.5,7.5
326,11515,1,15.5,15.5
327,11517,1,15.5,17.5
328,11519,1,15.5,19.5
329,11520,1,15.5,20.5
330,11521,1,15.5,21.5
331,11522,1,15.5,22.5
332,11523,1,15.5,23.5
333,11524,1,15.5,24.5
334,11525,1,15.5,25.5
335,11526,1,15.5,26.5
336,11527,1,15.5,27.5
337,11528,1,15.5,28.5
338,20110,2,17.5,10.5
339,20111,2,17.5,11.5
340,20202,2,18.5,2.5
341,20203,2,18.5,3.5
342,20204,2,18.5,4.5
343,20205,2,18.5,5.5
344,20206,2,18.5,6.5
345,20207,2,18.5,7.5
346,20208,2,18.5,8.5
347,20209,2,18.5,9.5
348,20210,2,18.5,10.5
349,20211,2,18.5,11.5
350,20302,2,19.5,2.5
351,20303,2,19.5,3.5
352,20304,2,19.5,4.5
353,20305,2,19.5,5.5
354,20306,2,19.5,6.5
355,20307,2,19.5,7.5
356,20308,2,19.5,8.5
357,20309,2,19.5,9.5
358,20310,2,19.5,10.5
359,20311,2,19.5,11.5
360,20402,2,20.5,2.5
361,20403,2,20.5,3.5
362,20404,2,20.5,4.5
363,20405,2,20.5,5.5
364,20406,2,20.5,6.5
365,20407,2,20.5,7.5
366,20408,2,20.5,8.5
367,20409,2,20.5,9.5
368,20410,2,20.5,10.5
369,20411,2,20.5,11.5
370,20502,2,21.5,2.5
371,20503,2,21.5,3.5
372,20504,2,21.5,4.5
373,20505,2,21.5,5.5
374,20506,2,21.5,6.5
375,20507,2,21.5,7.5
376,20508,2,21.5,8.5
377,20509,2,21.5,9.5
378,20510,2,21.5,10.5
379,20511,2,21.5,11.5
380,20602,2,22.5,2.5
381,20603,2,22.5,3.5
382,20604,2,22.5,4.5
383,20605,2,22.5,5.5
384,20606,2,22.5,6.5
385,20607,2,22.5,7.5
386,20608,2,22.5,8.5
387,20609,2,22.5,9.5
388,20610,2,22.5,10.5
389,20611,2,22.5,11.5
390,20702,2,23.5,2.5
391,20703,2,23.5,3.5
392,20704,2,23.5,4.5
393,20705,2,23.5,5.5
394,20706,2,23.5,6.5
395,20707,2,23.5,7.5
396,20708,2,23.5,8.5
397,20709,2,23.5,9.5
398,20710,2,23.5,10.5
399,20711,2,23.5,11.5
400,20802,2,24.5,2.5
401,20803,2,24.5,3.5
402,20804,2,24.5,4.5
403,20805,2,24.5,5.5
404,20806,2,24.5,6.5
405,20807,2,24.5,7.5
406,20808,2,24.5,8.5
407,20809,2,24.5,9.5
408,20902,2,25.5,2.5
409,20903,2,25.5,3.5
410,20904,2,25.5,4.5
411,20905,2,25.5,5.5
412,20906,2,25.5,6.5
413,20907,2,25.5,7.5
414,20908,2,25.5,8.5
415,20909,2,25.5,9.5
416,21001,2,26.5,1.5
417,21002,2,26.5,2.5
418,21003,2,26.5,3.5
419,21004,2,26.5,4.5
420,21005,2,26.5,5.5
421,21006,2,26.5,6.5
422,21007,2,26.5,7.5
423,21008,2,26.5,8.5
424,21009,2,26.5,9.5
425,21101,2,27.5,1.5
426,21102,2,27.5,2.5
427,21103,2,27.5,3.5
428,21104,2,27.5,4.5
429,21105,2,27.5,5.5
430,21106,2,27.5,6.5
431,21107,2,27.5,7.5
432,21108,2,27.5,8.5
433,21109,2,27.5,9.5
434,21206,2,28.5,6.5
435,21207,2,28.5,7.5
436,21208,2,28.5,8.5
437,21209,2,28.5,9.5
438,21210,2,28.5,10.5
439,21211,2,28.5,11.5
440,21300,2,29.5,0.5
441,21301,2,29.5,1.5
442,21302,2,29.5,2.5
443,21303,2,29.5,3.5
444,21304,2,29.5,4.5
445,21305,2,29.5,5.5
446,21306,2,29.5,6.5
447,21307,2,29.5,7.5
448,21308,2,29.5,8.5
449,21309,2,29.5,9.5
450,21310,2,29.5,10.5
451,21311,2,29.5,11.5
452,21400,2,30.5,0.5
453,21401,2,30.5,1.5
454,21402,2,30.5,2.5
455,21403,2,30.5,3.5
456,21404,2,30.5,4.5
457,21405,2,30.5,5.5
458,21406,2,30.5,6.5
459,21407,2,30.5,7.5
460,21408,2,30.5,8.5
461,21409,2,30.5,9.5
462,21410,2,30.5,10.5
463,21411,2,30.5,11.5
464,21500,2,31.5,0.5
465,21501,2,31.5,1.5
466,21502,2,31.5,2.5
467,21503,2,31.5,3.5
468,21504,2,31.5,4.5
469,21505,2,31.5,5.5
